iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-77.74565217,-77.66596706,-76.89763226,-77.40230523,-76.05999105,-75.80871633,-75.69002799,-76.22162297,-72.28290327,-70.88256852,-67.57439697,-69.14736979,nan,nan,-68.16404487,-59.66172364
1,-77.72378189,-77.43439564,-77.16237171,-76.36785504,-76.26951102,-76.3168576,-76.20371625,-76.23314513,-72.49826264,-70.83644391,-71.28433524,-70.09270835,-61.44924197,-58.86273229,-60.30244206,-58.69918858
2,-77.82201317,-77.69135267,-77.08688056,-76.32462151,-76.65701326,-76.37087005,-76.20841733,-76.33872561,-73.2073653,-71.15742865,-71.02041713,-68.56891221,-59.57251403,-59.0686314,-58.95716322,-59.65547664
3,-77.33487449,-77.58957764,-77.04876937,-75.09929999,-76.79223651,-76.88899349,-76.05042567,-76.46438414,-71.93106776,-72.74722862,-72.43733935,-68.32858052,-59.67491885,-59.04792009,-58.02715186,-59.05715824
4,-77.67467472,-77.73945847,-77.07910946,-75.90633036,-75.85089972,-76.34722508,-76.46205074,-75.62706721,-73.45910404,-73.09688543,-70.35602399,-69.52830338,-59.25420641,-59.23828586,-58.74959607,-57.85037861
5,-77.97908559,-77.23187436,-76.39664632,-74.97835922,-76.79159713,-76.31212792,-75.29539378,-75.9686752,-73.69753778,-73.15070115,-71.37614464,-68.77669358,-60.20826295,-58.83884835,-58.74723692,-58.34956744
6,-77.69685343,-77.69650256,-76.70288208,-76.22102209,-76.86817789,-76.57059096,-76.20475877,-76.05534217,-73.13229776,-71.78835473,-69.66827481,-70.95813078,-60.10398895,-59.02261284,-58.41339903,-58.73558167
7,-77.56063951,-77.7103817,-77.20879299,-75.90986078,-76.24905285,-76.73997301,-75.96266327,-75.05364557,-74.68900026,-71.39228876,-71.33377308,-70.74922508,-59.38277506,-59.32971927,-58.52791842,-57.83927154
8,-77.59067936,-77.51746009,-76.60474605,-76.35099293,-76.79358149,-76.52574221,-76.28074277,-76.30994008,-72.35918447,-71.3398782,-72.77467998,-71.6310362,-59.0071757,-59.0043081,-58.78442677,-58.79002418
9,-77.75776917,-77.75521455,-76.63265065,-75.23524686,-76.83737759,-76.42591865,-76.02828719,-76.07575618,-71.82778615,-70.73156468,-74.17291596,-69.44020092,-59.97771131,-58.75809249,-59.00484575,-58.13050645
10,-77.53076279,-77.04713089,-76.59600832,-76.29942487,-76.74984165,-76.48080885,-76.08370818,-74.30185752,-72.50693553,-72.38081594,-72.18985429,-70.69046221,-59.04183423,-59.21247297,-58.69375479,-57.81257863
11,-77.5602607,-77.35049036,-77.09643156,-75.85988746,-76.44354451,-76.58359588,-75.57488355,-75.99306549,-72.29372402,-72.09657141,-71.89078824,-71.33169061,-59.19956185,-58.61916877,-58.20918624,-58.12915593
12,-77.61006873,-77.14412889,-76.53134257,-76.25600696,-76.73753912,-76.95669403,-76.71302748,-76.42618574,-73.34982721,-71.79049643,-70.74807564,-70.85823558,-59.31726748,-58.97291657,-58.48744559,-58.16052531
13,-77.57622514,-77.41106968,-77.04485614,-75.73299141,-77.00368121,-76.39895782,-76.20618907,-76.25391354,-71.47106604,-72.05432106,-72.0934224,-69.49985158,-60.92165867,-59.09424762,-58.63838844,-58.21304515
14,-77.54891946,-77.07356821,-76.91018456,-76.73800114,-76.20816839,-76.84582562,-76.53526051,-76.17601385,-72.0328945,-72.73186651,-69.8991866,-70.42718461,-59.72531137,-59.31522078,-58.33567574,-57.72356209
15,-77.5926015,-77.57948169,-76.54514948,-75.90063849,-76.47377429,-76.82413766,-76.61611756,-76.40833329,-71.71486551,-72.45285327,-70.78073369,-69.24868466,-59.76557166,-59.46706487,-58.97405125,-58.04465677
16,-77.46568272,-77.30565477,-76.52236679,-76.4356021,-76.91548785,-77.11038628,-76.69027729,-76.26402631,-71.36136149,-71.63981518,-70.91271997,-68.97990674,-60.41398648,-59.19677755,-58.12427348,-58.43439855
17,-77.64565793,-77.43517903,-76.95439475,-76.53407426,-77.00019261,-77.15835244,-76.14156264,-76.69601094,-72.03478494,-72.62372047,-69.90684287,-69.51479631,-59.45945684,-58.82183286,-58.62930243,-58.55446298
18,-77.45626756,-76.88930281,-76.83026148,-77.14939644,-76.94889258,-76.94639749,-76.74967484,-76.37000814,-72.10253137,-70.76338091,-71.26578388,-70.05010285,-59.21798683,-58.78423355,-58.21116299,-58.59818371
19,-78.05823466,-77.21635281,-77.17613539,-77.03789612,-77.21186259,-76.50303299,-76.30962345,-76.4271297,-70.49299817,-72.98731029,-69.73528536,-68.86563615,-60.08939828,-58.55607016,-58.6619625,-58.41030979
,-77.64 ,-77.29 ,-76.81 ,-76.61 ,-76.91 ,-76.91 ,-76.50 ,-76.43 ,-71.54 ,-72.09 ,-70.52 ,-69.33 ,-59.79 ,-58.97 ,-58.52 ,-58.41 
